num_nodes,round,accuracy
10,1,0.3794
10,2,0.4603
10,3,0.5039
10,4,0.5431
10,5,0.5753
10,6,0.6023
10,7,0.6182
10,8,0.6357
10,9,0.6503
10,10,0.6574
10,11,0.6697
10,12,0.6785
10,13,0.6891
10,14,0.6927
10,15,0.6985
10,16,0.705
10,17,0.7048
10,18,0.7133
10,19,0.7163
10,20,0.7199
10,21,0.7229
10,22,0.7265
10,23,0.7283
10,24,0.7311
10,25,0.7336
10,26,0.731
10,27,0.7364
10,28,0.7342
10,29,0.7332
10,30,0.7299
10,31,0.7322
10,32,0.7345
10,33,0.7339
10,34,0.7358
10,35,0.7316
10,36,0.732
10,37,0.7323
10,38,0.73
10,39,0.7331
10,40,0.7313
10,41,0.7331
10,42,0.7335
10,43,0.7315
10,44,0.7314
10,45,0.7315
10,46,0.7313
10,47,0.7312
10,48,0.7292
10,49,0.7303
10,50,0.7309
10,51,0.7287
10,52,0.7303
10,53,0.7308
10,54,0.7307
10,55,0.7341
10,56,0.7342
10,57,0.7325
10,58,0.7331
10,59,0.732
10,60,0.7327
10,61,0.7353
10,62,0.7331
10,63,0.7331
10,64,0.732
10,65,0.7335
10,66,0.733
10,67,0.735
10,68,0.7358
10,69,0.7343
10,70,0.7342
10,71,0.7348
10,72,0.7347
10,73,0.7354
10,74,0.7331
10,75,0.7341
10,76,0.7351
10,77,0.7352
10,78,0.735
10,79,0.735
10,80,0.7347
10,81,0.7351
10,82,0.7358
10,83,0.7348
10,84,0.7352
10,85,0.7343
10,86,0.7349
10,87,0.7353
10,88,0.7353
10,89,0.7352
10,90,0.7346
10,91,0.7354
10,92,0.7335
10,93,0.7348
10,94,0.7341
10,95,0.7348
10,96,0.7346
10,97,0.7348
10,98,0.7341
10,99,0.7344
10,100,0.7344
11,1,0.3883
11,2,0.4504
11,3,0.5156
11,4,0.5458
11,5,0.5725
11,6,0.5952
11,7,0.6119
11,8,0.628
11,9,0.6419
11,10,0.6519
11,11,0.658
11,12,0.6691
11,13,0.6776
11,14,0.6853
11,15,0.6916
11,16,0.6915
11,17,0.7006
11,18,0.7046
11,19,0.7115
11,20,0.7133
11,21,0.715
11,22,0.7165
11,23,0.7229
11,24,0.7234
11,25,0.7277
11,26,0.7246
11,27,0.73
11,28,0.7338
11,29,0.7376
11,30,0.7344
11,31,0.7369
11,32,0.7369
11,33,0.7352
11,34,0.7342
11,35,0.7333
11,36,0.7339
11,37,0.7357
11,38,0.7301
11,39,0.7309
11,40,0.7343
11,41,0.7276
11,42,0.7283
11,43,0.7284
11,44,0.7268
11,45,0.7297
11,46,0.7319
11,47,0.7312
11,48,0.7279
11,49,0.7273
11,50,0.725
11,51,0.7264
11,52,0.7305
11,53,0.7289
11,54,0.7304
11,55,0.7321
11,56,0.7313
11,57,0.7324
11,58,0.7316
11,59,0.7302
11,60,0.733
11,61,0.7314
11,62,0.7333
11,63,0.7333
11,64,0.7331
11,65,0.734
11,66,0.7338
11,67,0.7334
11,68,0.733
11,69,0.7321
11,70,0.7327
11,71,0.7324
11,72,0.7317
11,73,0.7318
11,74,0.7318
11,75,0.7325
11,76,0.7315
11,77,0.731
11,78,0.7319
11,79,0.7307
11,80,0.731
11,81,0.7307
11,82,0.7304
11,83,0.7301
11,84,0.73
11,85,0.7298
11,86,0.7299
11,87,0.7298
11,88,0.7302
11,89,0.7293
11,90,0.7309
11,91,0.7306
11,92,0.7304
11,93,0.7303
11,94,0.7304
11,95,0.7306
11,96,0.7305
11,97,0.7301
11,98,0.7307
11,99,0.7306
11,100,0.73
12,1,0.3598
12,2,0.4445
12,3,0.4988
12,4,0.5262
12,5,0.5546
12,6,0.5785
12,7,0.5984
12,8,0.6125
12,9,0.6305
12,10,0.6424
12,11,0.6481
12,12,0.6582
12,13,0.6672
12,14,0.6745
12,15,0.6825
12,16,0.6871
12,17,0.6934
12,18,0.6975
12,19,0.7048
12,20,0.7091
12,21,0.7136
12,22,0.7166
12,23,0.7203
12,24,0.7246
12,25,0.7235
12,26,0.733
12,27,0.73
12,28,0.7323
12,29,0.7344
12,30,0.7391
12,31,0.7402
12,32,0.7403
12,33,0.7429
12,34,0.7431
12,35,0.7415
12,36,0.7421
12,37,0.7396
12,38,0.7429
12,39,0.7398
12,40,0.7427
12,41,0.7404
12,42,0.7393
12,43,0.7403
12,44,0.7428
12,45,0.7377
12,46,0.7392
12,47,0.7399
12,48,0.7393
12,49,0.735
12,50,0.738
12,51,0.7371
12,52,0.7349
12,53,0.7357
12,54,0.7339
12,55,0.7353
12,56,0.7352
12,57,0.735
12,58,0.734
12,59,0.7333
12,60,0.7355
12,61,0.7306
12,62,0.736
12,63,0.7358
12,64,0.7355
12,65,0.7371
12,66,0.7362
12,67,0.7347
12,68,0.7365
12,69,0.7376
12,70,0.737
12,71,0.7333
12,72,0.7362
12,73,0.7346
12,74,0.7362
12,75,0.7372
12,76,0.7364
12,77,0.7363
12,78,0.7365
12,79,0.7362
12,80,0.7374
12,81,0.7365
12,82,0.7366
12,83,0.7363
12,84,0.7381
12,85,0.7375
12,86,0.7371
12,87,0.7374
12,88,0.7375
12,89,0.7375
12,90,0.7375
12,91,0.7383
12,92,0.7377
12,93,0.7373
12,94,0.7378
12,95,0.7383
12,96,0.7377
12,97,0.7378
12,98,0.7384
12,99,0.7383
12,100,0.7379
13,1,0.3245
13,2,0.4255
13,3,0.477
13,4,0.5183
13,5,0.5393
13,6,0.5617
13,7,0.5821
13,8,0.5961
13,9,0.6144
13,10,0.6291
13,11,0.6375
13,12,0.6477
13,13,0.6571
13,14,0.6633
13,15,0.6747
13,16,0.6736
13,17,0.6818
13,18,0.6915
13,19,0.6921
13,20,0.6976
13,21,0.7038
13,22,0.7088
13,23,0.7113
13,24,0.7149
13,25,0.7197
13,26,0.726
13,27,0.723
13,28,0.7272
13,29,0.731
13,30,0.7318
13,31,0.7346
13,32,0.7321
13,33,0.7335
13,34,0.7328
13,35,0.738
13,36,0.7385
13,37,0.736
13,38,0.7383
13,39,0.7422
13,40,0.7408
13,41,0.7401
13,42,0.7398
13,43,0.7388
13,44,0.7393
13,45,0.7378
13,46,0.7378
13,47,0.7414
13,48,0.7391
